Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Model number (product.metafields.custom.model_number),Application (product.metafields.custom.applications),Specifications (product.metafields.custom.specifications),Features (product.metafields.custom.features),Source slug (product.metafields.custom.source_slug)
"heavy-duty-steel-workbench","Heavy-Duty Steel Workbench","<p>A steel workbench with a 16-gauge metal sheet top for durable industrial work, repairs, and production tasks.</p><h3>Applications</h3><p>Maintenance departments, fabrication shops, repair benches, assembly work, and industrial work cells.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Workbench, featured","FALSE","Title","Default Title","Heavy-Duty Steel Workbench","shopify","deny","manual","930","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-steel-workbench.webp","1","Heavy-duty steel workbench with metal sheet top","draft","Heavy-Duty Steel Workbench","Maintenance departments, fabrication shops, repair benches, assembly work, and industrial work cells.","<ul><li><strong>Capacity:</strong> 1,800 lb per side</li><li><strong>Dimensions:</strong> 72 L x 36 W x 30 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> 16 gauge metal sheet included</li></ul>","<ul><li>Weather-resistant coating</li><li>Metal top surface included</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-steel-workbench"
"industrial-mobile-workbench","Industrial Mobile Workbench","<p>A mobile workbench with plywood surfaces for staging tools, parts, assemblies, and active production work.</p><h3>Applications</h3><p>Industrial work cells, shop-floor repairs, fabrication support, assembly stations, and mobile maintenance work.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Workbench","FALSE","Title","Default Title","Industrial Mobile Workbench","shopify","deny","manual","1350","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/industrial-mobile-workbench.webp","1","Industrial mobile workbench with plywood top and lower shelf","draft","Industrial Mobile Workbench","Industrial work cells, shop-floor repairs, fabrication support, assembly stations, and mobile maintenance work.","<ul><li><strong>Capacity:</strong> 1,400 lb per side</li><li><strong>Dimensions:</strong> 96 L x 24 W x 30 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> 3/4 in plywood included</li></ul>","<ul><li>Weather-resistant coating</li><li>Plywood work surface included</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","industrial-mobile-workbench"
"three-tier-heavy-duty-mobile-assembly-workbench","3-Tier Heavy-Duty Mobile Assembly Workbench","<p>A three-tier mobile assembly workbench with plywood surfaces for parts, tools, cartons, and active production flow.</p><h3>Applications</h3><p>Assembly operations, packing lines, repair work, tooling support, production staging, and warehouse work cells.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Assembly Workbench, featured","FALSE","Title","Default Title","3-Tier Mobile Assembly Workbench","shopify","deny","manual","1315","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/three-tier-heavy-duty-mobile-assembly-workbench.webp","1","Three-tier heavy-duty mobile assembly workbench with plywood surfaces","draft","3-Tier Mobile Assembly Workbench","Assembly operations, packing lines, repair work, tooling support, production staging, and warehouse work cells.","<ul><li><strong>Capacity:</strong> 1,800 lb per side</li><li><strong>Dimensions:</strong> 96 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> 3/4 in plywood included</li></ul>","<ul><li>Weather-resistant coating</li><li>Three-tier work and storage layout</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","three-tier-heavy-duty-mobile-assembly-workbench"
"large-heavy-duty-industrial-platform-cart","Large Size Heavy Duty Industrial Platform Cart","<p>A wide mobile platform cart frame for larger assemblies, material staging, and industrial shop-floor transport.</p><h3>Applications</h3><p>Production floors, warehouses, fabrication areas, material handling, and staging of larger workpieces.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Platform Cart","FALSE","Title","Default Title","Large Industrial Platform Cart","shopify","deny","manual","1050","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/large-heavy-duty-industrial-platform-cart.webp","1","Large heavy-duty industrial platform cart frame","draft","Large Industrial Platform Cart","Production floors, warehouses, fabrication areas, material handling, and staging of larger workpieces.","<ul><li><strong>Capacity:</strong> 1,400 lb per side</li><li><strong>Dimensions:</strong> 96 L x 36 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","large-heavy-duty-industrial-platform-cart"
"mobile-glass-handling-table","Mobile Glass Handling Table","<p>A mobile handling table configured for supported movement and staging of glass sheets and similar panel materials.</p><h3>Applications</h3><p>Glass shops, glazing operations, window and door production, panel staging, and fabrication workflows.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Glass Handling Table","FALSE","Title","Default Title","Mobile Glass Handling Table","shopify","deny","manual","990","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/mobile-glass-handling-table.webp","1","Mobile glass handling table with plywood border","draft","Mobile Glass Handling Table","Glass shops, glazing operations, window and door production, panel staging, and fabrication workflows.","<ul><li><strong>Capacity:</strong> 1,400 lb per side</li><li><strong>Dimensions:</strong> 96 L x 24 W x 30 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> 3/4 or 1.5 in plywood with 1.5 in border</li></ul>","<ul><li>Weather-resistant coating</li><li>Plywood support surface available</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","mobile-glass-handling-table"
"heavy-duty-industrial-metal-top-platform-cart","Heavy Duty Industrial Metal Top Platform Cart","<p>A mobile platform cart frame for industrial staging, shop-floor handling, and adaptable work-surface configurations.</p><h3>Applications</h3><p>Manufacturing, fabrication, assembly, staging, warehouse transport, and equipment support.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Platform Cart","FALSE","Title","Default Title","Metal Top Platform Cart","shopify","deny","manual","1025","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-industrial-metal-top-platform-cart.webp","1","Blue heavy-duty industrial platform cart with metal top","draft","Metal Top Platform Cart","Manufacturing, fabrication, assembly, staging, warehouse transport, and equipment support.","<ul><li><strong>Capacity:</strong> 1,600 lb per side</li><li><strong>Dimensions:</strong> 72 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Top:</strong> Frame only, top surface not included</li></ul>","<ul><li>Weather-resistant coating</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-industrial-metal-top-platform-cart"
"mobile-electronics-workstation","Mobile Electronics Workstation","<p>A mobile workstation with top and lower plywood racks for electronics production, kitting, and organized assembly work.</p><h3>Applications</h3><p>Electronics assembly, kitting, repair benches, light manufacturing, production lines, and mobile inspection stations.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Mobile Workstation","FALSE","Title","Default Title","Mobile Electronics Workstation","shopify","deny","manual","990","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/mobile-electronics-workstation.webp","1","Mobile electronics workstation with plywood top and lower rack","draft","Mobile Electronics Workstation","Electronics assembly, kitting, repair benches, light manufacturing, production lines, and mobile inspection stations.","<ul><li><strong>Capacity:</strong> 1,600 lb per side</li><li><strong>Dimensions:</strong> 72 L x 24 W x 36 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li><li><strong>Surfaces:</strong> Top and bottom 3/4 in plywood racks included</li></ul>","<ul><li>Weather-resistant coating</li><li>Two-level plywood storage and work layout</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","mobile-electronics-workstation"
"heavy-duty-two-tier-service-cart-stainless-steel","Heavy-Duty 2-Tier Service Cart","<p>A stainless steel two-tier service cart for sanitary, food-service, and commercial work environments.</p><h3>Applications</h3><p>Food service, hospitality, commercial kitchens, cleaning operations, labs, and stainless work areas.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Stainless Steel Cart","FALSE","Title","Default Title","Stainless Steel 2-Tier Service Cart","shopify","deny","manual","980","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-two-tier-service-cart-stainless-steel.webp","1","Stainless steel two-tier service cart on casters","draft","Stainless Steel 2-Tier Service Cart","Food service, hospitality, commercial kitchens, cleaning operations, labs, and stainless work areas.","<ul><li><strong>Capacity:</strong> 400 lb per side</li><li><strong>Dimensions:</strong> 42 L x 24 W x 35 H in</li><li><strong>Frame:</strong> 2 x 2 in round pipe</li><li><strong>Material:</strong> 304 stainless steel</li></ul>","<ul><li>Top surface included</li><li>304 stainless steel construction</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-two-tier-service-cart-stainless-steel"
"butchers-meat-cutting-table-stainless-steel","Butcher's Meat Cutting Table","<p>A stainless steel meat cutting table with catch tray for butcher, food prep, and commercial kitchen environments.</p><h3>Applications</h3><p>Butcher shops, meat processing, commercial kitchens, food prep rooms, and stainless work stations.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Stainless Steel Table, featured","FALSE","Title","Default Title","Stainless Steel Meat Cutting Table","shopify","deny","manual","1480","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/butchers-meat-cutting-table-stainless-steel.webp","1","Stainless steel butcher meat cutting table with catch tray","draft","Stainless Steel Meat Cutting Table","Butcher shops, meat processing, commercial kitchens, food prep rooms, and stainless work stations.","<ul><li><strong>Capacity:</strong> 1,400 lb per side</li><li><strong>Dimensions:</strong> 48 L x 24 W x 32 H in</li><li><strong>Frame:</strong> 2 x 2 in round pipe</li><li><strong>Material:</strong> 304 stainless steel</li></ul>","<ul><li>Catch tray included</li><li>Top surface included</li><li>304 stainless steel construction</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","butchers-meat-cutting-table-stainless-steel"
"heavy-duty-16-ga-cutting-table","Heavy Duty 16 Ga. Cutting Table","<p>A heavy-duty stainless cutting table with backsplash and cutting-board surface for commercial preparation work.</p><h3>Applications</h3><p>Commercial kitchens, food prep rooms, production kitchens, butcher operations, and sanitary workstations.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Stainless Steel Table","FALSE","Title","Default Title","16 Ga. Cutting Table","shopify","deny","manual","2050","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/heavy-duty-16-ga-cutting-table.webp","1","Stainless steel heavy-duty cutting table with backsplash","draft","16 Ga. Cutting Table","Commercial kitchens, food prep rooms, production kitchens, butcher operations, and sanitary workstations.","<ul><li><strong>Capacity:</strong> 400 lb per side</li><li><strong>Dimensions:</strong> 60 L x 30 W x 35 H in</li><li><strong>Frame:</strong> 2 x 2 in round pipe</li><li><strong>Material:</strong> 304 stainless steel, 16 ga / 1.5 mm</li></ul>","<ul><li>1 in cutting board</li><li>Backsplash included</li><li>Top surface included</li><li>304 stainless steel construction</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","heavy-duty-16-ga-cutting-table"
"commercial-pizza-prep-table","Commercial Pizza Prep Table","<p>A stainless steel pizza prep table with a three-sided backsplash for commercial kitchen and food-service work.</p><h3>Applications</h3><p>Pizzerias, commercial kitchens, bakeries, food prep rooms, and stainless service workstations.</p>","Pro Steel Equipment","","Industrial Tables & Carts","migration-2026, industrial-table, Stainless Steel Table","FALSE","Title","Default Title","Commercial Pizza Prep Table","shopify","deny","manual","2250","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/tables/commercial-pizza-prep-table.webp","1","Commercial stainless steel pizza prep table with three-sided backsplash","draft","Commercial Pizza Prep Table","Pizzerias, commercial kitchens, bakeries, food prep rooms, and stainless service workstations.","<ul><li><strong>Capacity:</strong> 600 lb per side</li><li><strong>Dimensions:</strong> 60 L x 30 W x 35 H in</li><li><strong>Frame:</strong> 2 x 2 in round pipe</li><li><strong>Material:</strong> 304 stainless steel</li></ul>","<ul><li>Three-sided backsplash included</li><li>Top surface included</li><li>304 stainless steel construction</li><li>Heavy-duty metal frame construction</li><li>Wheel size options available</li><li>Custom sizes are available on request</li><li>Built for commercial and industrial work areas</li></ul>","commercial-pizza-prep-table"
"heavy-duty-bollard-bolt-down-4-dia-36","Heavy Duty Bolt-Down Bollard - 4 in x 36 in","<p>A surface-mounted steel bollard for protecting doors, walls, equipment, traffic lanes, and exposed industrial work areas.</p><h3>Applications</h3><p>Warehouse aisles, overhead doors, building corners, loading areas, parking lanes, and equipment protection zones.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Bollards","FALSE","Title","Default Title","4 in dia x 36 in H","shopify","deny","manual","145","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-bollard-bolt-down-4-dia-36.webp","1","Yellow 4 inch by 36 inch ProSteel bolt-down bollard","draft","4 in dia x 36 in H","Warehouse aisles, overhead doors, building corners, loading areas, parking lanes, and equipment protection zones.","<ul><li><strong>Diameter:</strong> 4 in</li><li><strong>Height:</strong> 36 in</li><li><strong>Pipe:</strong> 7 gauge steel</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 5/8 x 4.5 in, not included</li></ul>","<ul><li>Welded metal cap</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li><li>Concrete installation kit sold separately</li></ul>","heavy-duty-bollard-bolt-down-4-dia-36"
"heavy-duty-bollard-bolt-down-4-dia-42","Heavy Duty Bolt-Down Bollard - 4 in x 42 in","<p>A taller bolt-down bollard for creating visible impact protection around warehouse doors, posts, and vulnerable equipment.</p><h3>Applications</h3><p>Loading docks, production aisles, material handling routes, parking areas, and industrial traffic-control points.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Bollards","FALSE","Title","Default Title","4 in dia x 42 in H","shopify","deny","manual","160","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-bollard-bolt-down-4-dia-42.webp","1","Yellow 4 inch by 42 inch ProSteel bolt-down bollard","draft","4 in dia x 42 in H","Loading docks, production aisles, material handling routes, parking areas, and industrial traffic-control points.","<ul><li><strong>Diameter:</strong> 4 in</li><li><strong>Height:</strong> 42 in</li><li><strong>Pipe:</strong> 7 gauge steel</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 5/8 x 4.5 in, not included</li></ul>","<ul><li>Welded metal cap</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li><li>Concrete installation kit sold separately</li></ul>","heavy-duty-bollard-bolt-down-4-dia-42"
"heavy-duty-bollard-bolt-down-4-dia-48","Heavy Duty Bolt-Down Bollard - 4 in x 48 in","<p>A heavy-duty 48 in bollard for strong, visible protection where forklifts, carts, or vehicles move near assets and walkways.</p><h3>Applications</h3><p>Warehouse traffic lanes, machine protection, dock areas, storefront protection, and high-visibility safety layouts.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Bollards, featured","FALSE","Title","Default Title","4 in dia x 48 in H","shopify","deny","manual","175","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-bollard-bolt-down-4-dia-48.webp","1","Yellow 4 inch by 48 inch ProSteel bolt-down bollard","draft","4 in dia x 48 in H","Warehouse traffic lanes, machine protection, dock areas, storefront protection, and high-visibility safety layouts.","<ul><li><strong>Diameter:</strong> 4 in</li><li><strong>Height:</strong> 48 in</li><li><strong>Pipe:</strong> 7 gauge steel</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 5/8 x 4.5 in, not included</li></ul>","<ul><li>Welded metal cap</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li><li>Concrete installation kit sold separately</li></ul>","heavy-duty-bollard-bolt-down-4-dia-48"
"heavy-duty-bollard-bolt-down-4-dia-60","Heavy Duty Bolt-Down Bollard - 4 in x 60 in","<p>A tall surface-mounted bollard for high-visibility guarding at warehouse doors, traffic routes, and exposed facility edges.</p><h3>Applications</h3><p>Overhead doors, aisle ends, outdoor protection zones, building corners, and industrial vehicle separation.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Bollards","FALSE","Title","Default Title","4 in dia x 60 in H","shopify","deny","manual","180","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-bollard-bolt-down-4-dia-60.webp","1","Yellow 4 inch by 60 inch ProSteel bolt-down bollard","draft","4 in dia x 60 in H","Overhead doors, aisle ends, outdoor protection zones, building corners, and industrial vehicle separation.","<ul><li><strong>Diameter:</strong> 4 in</li><li><strong>Height:</strong> 60 in</li><li><strong>Pipe:</strong> 7 gauge steel</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 5/8 x 4.5 in, not included</li></ul>","<ul><li>Welded metal cap</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li><li>Concrete installation kit sold separately</li></ul>","heavy-duty-bollard-bolt-down-4-dia-60"
"overhead-door-track-protector-48-in-ht","Overhead Door Track Protector - 48 in HT","<p>A bolt-down guard that shields overhead door tracks from forklift, cart, and pallet impact in busy warehouse openings.</p><h3>Applications</h3><p>Loading doors, shipping docks, receiving areas, warehouse entrances, and high-traffic overhead door tracks.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Door Protection, featured","FALSE","Title","Default Title","48 in HT / 9.86 x 6.58 in plate","shopify","deny","manual","140","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/overhead-door-track-protector-48-in-ht.webp","1","Yellow overhead door track protector with floor plate","draft","48 in HT / 9.86 x 6.58 in plate","Loading doors, shipping docks, receiving areas, warehouse entrances, and high-traffic overhead door tracks.","<ul><li><strong>Height:</strong> 48 in</li><li><strong>Plate:</strong> 9.86 x 6.58 in</li><li><strong>Wall holes:</strong> 5 holes at 5/8 in</li><li><strong>Floor holes:</strong> 3 holes at 15/16 in</li><li><strong>Anchors:</strong> Not included</li></ul>","<ul><li>Protects door tracks from side impact</li><li>Large anchor option: 5.5 x 0.75 in</li><li>Small anchor option: 3.75 x 0.5 in</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","overhead-door-track-protector-48-in-ht"
"overhead-door-track-protector-36-in-ht","Overhead Door Track Protector - 36 in HT","<p>A compact overhead door track guard for protecting lower track areas and doorway corners from daily facility traffic.</p><h3>Applications</h3><p>Warehouse doors, service doors, shipping bays, receiving lanes, and compact impact-protection locations.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Door Protection","FALSE","Title","Default Title","36 in HT / 9.86 x 6.58 in plate","shopify","deny","manual","120","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/overhead-door-track-protector-36-in-ht.webp","1","Yellow 36 inch overhead door track protector","draft","36 in HT / 9.86 x 6.58 in plate","Warehouse doors, service doors, shipping bays, receiving lanes, and compact impact-protection locations.","<ul><li><strong>Height:</strong> 36 in</li><li><strong>Plate:</strong> 9.86 x 6.58 in</li><li><strong>Wall holes:</strong> 5 holes at 5/8 in</li><li><strong>Floor holes:</strong> 3 holes at 15/16 in</li><li><strong>Anchors:</strong> Not included</li></ul>","<ul><li>Protects door tracks from side impact</li><li>Large anchor option: 5.5 x 0.75 in</li><li>Small anchor option: 3.75 x 0.5 in</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","overhead-door-track-protector-36-in-ht"
"heavy-duty-mid-rail-machine-guard-24x18","Heavy Duty Mid-Rail Machine Guard - 24 x 18 in","<p>A compact welded machine guard for adding physical separation around equipment, posts, and vulnerable production assets.</p><h3>Applications</h3><p>Machine cells, conveyor areas, production lines, corner protection, equipment bases, and work-area boundaries.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Machine Guards","FALSE","Title","Default Title","24 x 18 in","shopify","deny","manual","370","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-mid-rail-machine-guard-24x18.webp","1","Yellow heavy-duty mid-rail machine guard","draft","24 x 18 in","Machine cells, conveyor areas, production lines, corner protection, equipment bases, and work-area boundaries.","<ul><li><strong>Width:</strong> 24 in</li><li><strong>Height:</strong> 18 in</li><li><strong>Tube:</strong> 4 x 4 x 0.25 in square tube</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 0.74 x 5.51 in, not included</li></ul>","<ul><li>Mid-rail format for low-profile equipment protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","heavy-duty-mid-rail-machine-guard-24x18"
"heavy-duty-mid-rail-machine-guard-26x18","Heavy Duty Mid-Rail Machine Guard - 26 x 18 in","<p>A welded mid-rail guard sized for equipment edges and traffic routes that need a wider protective footprint.</p><h3>Applications</h3><p>Industrial equipment, production aisles, warehouse columns, machine bases, and exposed shop-floor corners.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Machine Guards","FALSE","Title","Default Title","26 x 18 in","shopify","deny","manual","450","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-mid-rail-machine-guard-26x18.webp","1","Yellow 26 by 18 inch heavy-duty mid-rail machine guard","draft","26 x 18 in","Industrial equipment, production aisles, warehouse columns, machine bases, and exposed shop-floor corners.","<ul><li><strong>Width:</strong> 26 in</li><li><strong>Height:</strong> 18 in</li><li><strong>Tube:</strong> 4 x 4 x 0.25 in square tube</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 0.74 x 5.51 in, not included</li></ul>","<ul><li>Mid-rail format for low-profile equipment protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","heavy-duty-mid-rail-machine-guard-26x18"
"heavy-duty-mid-rail-machine-guard-24x42","Heavy Duty Mid-Rail Machine Guard - 24 x 42 in","<p>A taller mid-rail machine guard for protecting exposed equipment and separating facility traffic from critical areas.</p><h3>Applications</h3><p>Machine guarding layouts, forklift travel lanes, equipment corners, production cells, and warehouse safety barriers.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Machine Guards, featured","FALSE","Title","Default Title","24 x 42 in","shopify","deny","manual","500","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/heavy-duty-mid-rail-machine-guard-24x42.webp","1","Tall yellow heavy-duty mid-rail machine guard","draft","24 x 42 in","Machine guarding layouts, forklift travel lanes, equipment corners, production cells, and warehouse safety barriers.","<ul><li><strong>Width:</strong> 24 in</li><li><strong>Height:</strong> 42 in</li><li><strong>Tube:</strong> 4 x 4 x 0.25 in square tube</li><li><strong>Base plate:</strong> 8 x 8 x 0.4 in</li><li><strong>Anchor bolt:</strong> 0.74 x 5.51 in, not included</li></ul>","<ul><li>Taller profile for stronger visual separation</li><li>Mid-rail format for equipment protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","heavy-duty-mid-rail-machine-guard-24x42"
"rack-protector-7x12-3ga","Rack Protector - 7 x 12 in, 3 Ga.","<p>A low-profile rack protector that shields 7 in pallet-rack uprights from cart and forklift contact.</p><h3>Applications</h3><p>Pallet rack aisles, warehouse storage rows, picking areas, logistics facilities, and rack-end protection zones.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","Fits 7 in post / 12 in H","shopify","deny","manual","55","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-7x12-3ga.webp","1","Yellow 7 by 12 inch pallet rack protector","draft","Fits 7 in post / 12 in H","Pallet rack aisles, warehouse storage rows, picking areas, logistics facilities, and rack-end protection zones.","<ul><li><strong>Post fit:</strong> 7 in</li><li><strong>Height:</strong> 12 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-7x12-3ga"
"rack-protector-7x18-3ga","Rack Protector - 7 x 18 in, 3 Ga.","<p>A medium-height rack protector for 7 in pallet-rack posts in active warehouse aisles and storage lanes.</p><h3>Applications</h3><p>Pallet rack aisles, warehouse storage rows, distribution centres, picking areas, and high-traffic rack ends.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","Fits 7 in post / 18 in H","shopify","deny","manual","75","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-7x18-3ga.webp","1","Yellow 7 by 18 inch pallet rack protector","draft","Fits 7 in post / 18 in H","Pallet rack aisles, warehouse storage rows, distribution centres, picking areas, and high-traffic rack ends.","<ul><li><strong>Post fit:</strong> 7 in</li><li><strong>Height:</strong> 18 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-7x18-3ga"
